n,a_n
1,1
2,2
3,1
4,4
5,-4
6,2
7,5
8,-6
9,6
10,1
11,11
12,-11
13,13
14,9
15,4
16,-13
17,-4
18,12
19,-7
20,-10
21,9
22,7
23,18
24,-15
25,-18
26,22
27,-3
28,-7
29,-16
30,6
31,-5
32,32
33,21
34,27
35,33
36,36
37,-36
38,38
39,15
40,24
41,-35
42,16
43,-15
44,-30
45,45
46,41
47,-10
48,24
49,-42
50,45
51,45
52,46
53,47
54,4
55,-43
56,49
57,-53
58,-25
59,11
60,-59
61,-41
62,7
63,44
64,5
65,-61
66,63
67,15
68,42
69,-64
70,-63
71,-8
72,-71
73,-70
74,-55
75,75
76,-26
77,-56
78,44
79,5
80,-75
81,35
82,-37
83,56
84,-41
85,11
86,-85
87,13
88,40
89,65
90,73
91,-63
92,-12
93,53
94,35
95,-43
96,82
97,34
98,50
99,-22
100,-2
101,-93
102,98
103,-61
104,100
105,-50
106,31
107,-40
108,-82
109,-31
110,48
111,-87
112,94
113,-24
114,105
115,-112
116,105
117,-114
118,-90
119,-107
120,-19
121,-15
122,-81
123,80
124,-123
125,55
126,-125
127,81
128,-78
129,-68
130,119
131,-45
132,-110
133,3
134,16
135,-41
136,19
137,24
138,-123
139,62
140,-101
141,-60
142,41
143,-25
144,23
145,-124
146,146
147,147
148,88
149,9
150,59
151,94
152,-34
153,-83
154,-148
155,50
156,-37
157,104
158,-53
159,-65
160,-134
161,-144
162,83
163,159
164,153
165,132
166,12
167,-86
168,154
169,-13
170,-68
171,155
172,-151
173,-31
174,74
175,-171
176,-171
177,-172
178,-128
179,-131
180,148
181,-64
182,-166
183,-91
184,-22
185,-1
186,-154
187,9
188,75
189,-70
190,-145
191,-86
192,177
193,171
194,191
195,114
196,156
197,-172
198,-142
199,115
200,189
201,100
202,-99
203,203
204,190
205,205
206,-149
207,202
208,170
209,76
210,122
211,103
212,130
213,-199
214,188
215,-99
216,216
217,149
218,-213
219,132
220,15
221,142
222,-133
223,-192
224,77
225,225
226,-209
227,-226
228,48
229,-177
230,-200
231,204
232,44
233,8
234,232
235,-105
236,229
237,76
238,138
239,-51
240,-158
241,-189
242,-114
243,-188
244,119
245,-88
246,-5
247,238
248,-168
249,249
250,-183
251,-175
252,204
253,49
254,-241
255,-202
256,-204
257,-55
258,258
259,102
260,259
261,258
262,103
263,162
264,-257
265,155
266,-233
267,-130
268,249
269,-197
270,-216
271,-190
272,-271
273,-198
274,19
275,45
276,237
277,-272
278,-269
279,259
280,276
281,-121
282,-281
283,279
284,159
285,267
286,7
287,191
288,169
289,-171
290,-282
291,200
292,-253
293,-291
294,-271
295,-214
296,-104
297,93
298,-281
299,295
300,-88
301,-7
302,-196
303,-283
304,-74
305,301
306,-168
307,306
308,-294
309,300
310,-309
311,-279
312,-179
313,-25
314,45
315,270
316,-52
317,-313
318,293
319,-237
320,314
321,-47
322,-42
323,295
324,-95
325,-219
326,260
327,222
328,284
329,314
330,-49
331,317
332,96
333,327
334,94
335,-79
336,147
337,203
338,315
339,255
340,-174
341,319
342,-338
343,331
344,-312
345,286
346,-42
347,317
348,101
349,161
350,-248
351,-67
352,300
353,-352
354,-46
355,-321
356,-185
357,-126
358,-115
359,-340
360,-231
361,360
362,347
363,360
364,349
365,-105
366,355
367,-3
368,-55
369,369
370,-366
371,-370
372,245
373,-13
374,-154
375,21
376,313
377,-344
378,378
379,323
380,207
381,-125
382,238
383,-261
384,92
385,-302
386,-149
387,377
388,7
389,258
390,151
391,83
392,381
393,-301
394,223
395,18
396,-295
397,124
398,-396
399,-60
400,119
401,-146
402,-400
403,342
404,167
405,-195
406,-86
407,375
408,-373
409,-309
410,-368
411,170
412,146
413,412
414,-183
415,-291
416,-383
417,116
418,96
419,412
420,-186
421,251
422,-132
423,-19
424,-60
425,127
426,416
427,414
428,-270
429,79
430,-193
431,422
432,372
433,418
434,-75
435,172
436,307
437,-333
438,8
439,434
440,199
441,-390
442,-186
443,265
444,399
445,-11
446,446
447,-44
448,-4
449,338
450,-431
451,253
452,450
453,-311
454,-11
455,455
456,229
457,148
458,-157
459,40
460,341
461,457
462,-459
463,-145
464,-214
465,-165
466,-465
467,-17
468,450
469,-322
470,-469
471,368
472,-201
473,33
474,474
475,174
476,-446
477,54
478,-269
479,444
480,-414
481,309
482,437
483,-154
484,27
485,463
486,-451
487,480
488,299
489,-257
490,284
491,468
492,45
493,422
494,425
495,-385
496,-490
497,48
498,-384
499,-328
500,-477
501,253
502,500
503,-238
504,350
